date, pm25, pm10, o3, no2, so2, co
2024/9/23, 37, 17, 13, 11, , 6
2024/9/24, 44, 34, 62, 14, 2, 7
2024/9/25, 76, 45, 69, 19, 2, 7
2024/9/26, 86, 36, 74, 15, 3, 6
2024/9/27, 75, 40, 56, 15, 3, 6
2024/9/28, 91, 33, 93, 12, 1, 5
2024/9/29, 72, 32, 45, 11, 2, 5
2024/9/30, 71, 28, 37, 7, 2, 4
2024/4/1, 90, 47, 28, 6, 3, 4
2024/4/2, 105, 33, 11, 11, 3, 4
2024/4/3, 65, 28, 16, 8, , 5
2024/4/4, 60, 25, 15, 10, 3, 7
2024/4/5, 67, 23, 13, 10, 3, 6
2024/4/6, 67, 15, 2, 10, 3, 8
2024/4/7, 46, 22, 5, 8, 3, 8
2024/4/8, 49, 23, 31, 9, 3, 7
2024/4/9, 51, 38, 81, 11, 4, 7
2024/4/10, 74, 48, 74, 12, 4, 7
2024/4/11, 86, 53, 66, 16, 3, 7
2024/4/12, 98, 55, 64, 16, 3, 7
2024/4/13, 92, 34, 30, 9, 3, 5
2024/4/14, 66, 36, 36, 9, 3, 7
2024/4/15, 69, 36, 38, 10, 3, 6
2024/4/16, 74, 34, 31, 8, 3, 6
2024/4/17, 70, 35, 36, 13, 3, 7
2024/4/18, 72, 33, 13, 14, 4, 7
2024/4/19, 65, 20, 30, 7, 2, 6
2024/4/20, 54, 17, 22, 12, 3, 6
2024/4/21, 57, 30, 36, 18, 3, 6
2024/4/22, 80, 26, 16, 23, 3, 7
2024/4/23, 70, 38, 33, 19, 3, 7
2024/4/24, 86, 19, 25, 13, 3, 6
2024/4/25, 44, 28, 44, 13, 2, 6
2024/4/26, 64, 36, 28, 10, 2, 6
2024/4/27, 88, 23, 25, 14, 2, 7
2024/4/28, 60, 24, 8, 13, 2, 5
2024/4/29, 55, 23, 40, 6, , 5
2024/4/30, 55, 19, 26, 5, 2, 6
2024/5/1, 52, 23, 12, 6, 2, 7
2024/5/2, 51, 39, 15, 15, 2, 8
2024/5/3, 83, 25, 22, 13, 2, 6
2024/5/4, 62, 25, 65, 10, 2, 6
2024/5/5, 72, 44, 96, 18, 2, 8
2024/5/6, 94, 33, 87, 10, 2, 7
2024/5/7, 80, 26, 36, 8, 2, 6
2024/5/8, 63, 42, 84, 10, 2, 6
2024/5/9, 86, 44, 68, 11, 3, 6
2024/5/10, 77, 37, 54, 11, 2, 5
2024/5/11, 66, 33, 33, 11, 2, 4
2024/5/12, 64, 35, 58, 10, 2, 4
2024/5/13, 65, 45, 108, 11, 2, 5
2024/5/14, 76, 47, 109, 15, 3, 5
2024/5/15, 83, 53, 116, 13, 3, 4
2024/5/16, 78, 57, 94, 14, 3, 5
2024/5/17, 99, 37, 56, 12, 2, 4
2024/5/18, 81, 29, 25, 11, 1, 5
2024/5/19, 73, 13, 14, 11, 1, 5
2024/5/20, 42, 9, 15, 9, 1, 4
2024/5/21, 28, 22, 48, 12, 1, 5
2024/5/22, 113, 32, 24, 16, 1, 5
2024/5/23, 80, 13, 11, 16, 1, 5
2024/5/24, 40, 17, 58, 10, 1, 5
2024/5/25, 54, 20, 28, 13, 1, 4
2024/5/26, 47, 22, 28, 10, 1, 5
2024/5/27, 53, 16, 31, 9, 1, 4
2024/5/28, 51, 27, 97, 9, 2, 4
2024/5/29, 57, 36, 57, 12, 2, 4
2024/5/30, 67, 18, 32, 9, 1, 4
2024/5/31, 46, 12, 25, 6, 1, 4
2024/6/1, 37, 20, 58, 6, 2, 6
2024/6/2, 61, 30, 26, 15, 1, 6
2024/6/3, 70, 29, 45, 12, 2, 4
2024/6/4, 65, 33, 37, 12, 1, 5
2024/6/5, 76, 13, 18, 7, 1, 5
2024/6/6, 34, 20, 21, 10, 1, 5
2024/6/7, 57, 22, 26, 11, 1, 6
2024/6/8, 61, 19, 17, 12, 1, 5
2024/6/9, 51, 21, 21, 8, 2, 5
2024/6/10, 50, 20, 26, 9, 1, 5
2024/6/11, 43, 26, 39, 9, 1, 5
2024/6/12, 61, 26, 46, 6, 1, 5
2024/6/13, 59, 25, 17, 7, , 5
2024/6/14, 57, 20, 21, 11, 1, 5
2024/6/15, 50, 26, 23, 14, 1, 5
2024/6/16, 57, 30, 35, 9, 1, 4
2024/6/17, 61, 24, 24, 9, 1, 4
2024/6/18, 49, 24, 37, 9, 1, 4
2024/6/19, 54, 22, 39, 7, 1, 
2024/6/20, 48, 18, 37, 7, 2, 5
2024/6/21, 45, 29, 35, 2, 1, 3
2024/6/22, 82, 13, 30, 3, 1, 
2024/6/23, 26, 16, 27, 5, 1, 3
2024/6/24, 36, 16, 27, 4, 1, 3
2024/6/25, 37, 22, 39, 5, 2, 3
2024/6/26, 49, 23, 43, 7, 2, 3
2024/6/27, 47, 26, 40, 7, 2, 4
2024/6/28, 36, 20, 31, 6, , 4
2024/6/29, 39, 21, 32, 3, 2, 5
2024/6/30, 45, 26, 29, 5, 1, 5
2024/1/1, 150, 65, 23, 18, 3, 6
2024/1/2, 129, 30, 34, 11, 3, 7
2024/1/3, 68, 38, 28, 20, 3, 5
2024/1/4, 84, 69, 71, 37, 4, 9
2024/1/5, 142, 69, 98, 33, 4, 10
2024/1/6, 143, 57, 77, 15, 4, 8
2024/1/7, 117, 59, 59, 15, 4, 8
2024/1/8, 116, 52, 29, 18, 3, 8
2024/1/9, 100, 25, 36, 6, 3, 7
2024/1/10, 57, 41, 31, 11, 3, 8
2024/1/11, 84, 61, 33, 28, 4, 8
2024/1/12, 127, 88, 100, 47, 6, 10
2024/1/13, 160, 65, 48, 35, 4, 8
2024/1/14, 124, 62, 51, 34, 4, 8
2024/1/15, 120, 55, 76, 18, 4, 6
2024/1/16, 97, 48, 63, 21, 3, 6
2024/1/17, 93, 39, 53, 24, 3, 7
2024/1/18, 75, 50, 52, 24, 3, 6
2024/1/19, 78, 40, 14, 17, 3, 7
2024/1/20, 70, 25, 31, 10, 3, 9
2024/1/21, 54, 17, 15, 7, 3, 7
2024/1/22, 40, 28, 27, 5, 3, 6
2024/1/23, 70, 29, 25, 6, 3, 5
2024/1/24, 73, 35, 25, 10, 4, 6
2024/1/25, 81, 42, 19, 14, 4, 7
2024/1/26, 91, 47, 13, 13, 3, 7
2024/1/27, 99, 38, 16, 9, 3, 5
2024/1/28, 95, 52, 9, 17, 3, 7
2024/1/29, 119, 66, 5, 23, 3, 10
2024/1/30, 141, 58, 32, 23, 3, 9
2024/1/31, 117, 35, 20, 19, 3, 7
2024/2/1, 68, 27, 30, 10, 3, 5
2024/2/2, 56, 26, 27, 8, 3, 4
2024/2/3, 54, 25, 16, 12, 3, 5
2024/2/4, 58, 17, 9, 7, 3, 6
2024/2/5, 36, 22, 11, 8, 3, 7
2024/2/6, 59, 8, 11, 5, 3, 9
2024/2/7, 23, 6, 16, 4, , 7
2024/2/8, 20, 16, 21, 3, 3, 7
2024/2/9, 59, 50, 37, 6, 4, 7
2024/2/10, 121, 41, 39, 10, 3, 7
2024/2/11, 104, 49, 51, 10, 4, 5
2024/2/12, 118, 41, 49, 8, 3, 5
2024/2/13, 90, 41, 45, 7, 3, 5
2024/2/14, 98, 40, 43, 7, 3, 5
2024/2/15, 87, 26, 55, 5, 3, 7
2024/2/16, 65, 27, 32, 6, 3, 5
2024/2/17, 67, 25, 33, 6, 3, 4
2024/2/18, 64, 27, 15, 8, 3, 5
2024/2/19, 64, 26, 24, 5, 3, 4
2024/2/20, 56, 29, 31, 6, 3, 4
2024/2/21, 66, 27, 12, 10, 3, 5
2024/2/22, 58, 21, 9, 7, 3, 7
2024/2/23, 42, 19, 10, 6, 3, 7
2024/2/24, 57, 17, 15, 6, 3, 7
2024/2/25, 55, 20, 9, 8, 3, 8
2024/2/26, 60, 18, 16, 7, 3, 7
2024/2/27, 48, 42, 8, 11, 3, 8
2024/2/28, 90, 26, 6, 9, 3, 9
2024/2/29, 55, 19, 22, 5, 3, 7
2024/3/1, 44, 24, 22, 9, 3, 6
2024/3/2, 63, 42, 11, 18, 3, 7
2024/3/3, 88, 38, 13, 21, 3, 8
2024/3/4, 88, 36, 9, 19, 3, 6
2024/3/5, 75, 36, 11, 11, 3, 7
2024/3/6, 72, 30, 19, 9, 4, 7
2024/3/7, 67, 35, 39, 12, 3, 6
2024/3/8, 76, 44, 18, 16, 2, 6
2024/3/9, 102, 18, 11, 12, 2, 5
2024/3/10, 57, 16, 18, 15, 2, 6
2024/3/11, 53, 34, 70, 19, 2, 6
2024/3/12, 76, 63, 50, 31, 3, 5
2024/3/13, 105, 62, 29, 25, 3, 5
2024/3/14, 118, 57, 18, 23, 3, 7
2024/3/15, 98, 63, 24, 26, 3, 9
2024/3/16, 123, 56, 20, 29, 4, 8
2024/3/17, 104, 41, 21, 18, 3, 7
2024/3/18, 83, 21, 36, 9, 3, 7
2024/3/19, 34, 68, 52, 11, 3, 6
2024/3/20, 75, 56, 44, 13, 3, 6
2024/3/21, 71, 55, 31, 15, 3, 6
2024/3/22, 82, 56, 23, 16, 3, 6
2024/3/23, 73, 45, 33, 10, 3, 4
2024/3/24, 74, 42, 27, 15, 3, 5
2024/3/25, 71, 47, 64, 15, 4, 7
2024/3/26, 82, 41, 33, 13, 3, 6
2024/3/27, 74, 47, 42, 14, 4, 6
2024/3/28, 80, 51, 60, 21, 4, 6
2024/3/29, 98, 38, 27, 22, 4, 6
2024/3/30, 75, 39, 22, 12, 3, 5
2024/3/31, 76, 43, 11, 10, 3, 5
2023/10/1, 86, 19, 43, 3, 2, 6
2023/10/2, 53, 39, 86, 7, 2, 6
2023/10/3, 93, 43, 57, 7, , 6
2023/10/4, 103, 28, 40, 2, 2, 6
2023/10/5, 68, 26, 55, 1, 2, 5
2023/10/6, 57, 13, 26, 1, 2, 5
